_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.03,0.14,0.00,0.00,-0.05,-0.03
OLS,RESIDUAL,1,0.04,0.15,-0.09,0.04,0.04,0.20
OLS,RESIDUAL,1,-0.01,0.03,0.06,-0.02,0.00,-0.08
OLS,RESIDUAL,1,-0.08,-0.35,-0.01,-0.07,-0.12,-0.44
OLS,RESIDUAL,1,0.04,0.13,0.07,0.08,0.09,0.09
OLS,RESIDUAL,1,0.05,0.06,-0.04,0.03,0.01,0.04
OLS,RESIDUAL,1,0.00,0.07,-0.07,0.06,-0.00,-0.04
OLS,RESIDUAL,1,0.05,-0.06,-0.02,0.06,0.07,-0.14
OLS,RESIDUAL,1,0.02,-0.20,0.04,0.03,-0.04,-0.07
OLS,RESIDUAL,1,0.03,-0.14,0.04,0.05,-0.06,-0.12
OLS,RESIDUAL,1,-0.11,-0.30,0.12,-0.14,-0.20,-0.29
OLS,RESIDUAL,1,0.01,0.04,-0.03,0.00,-0.02,-0.14
OLS,RESIDUAL,1,0.03,0.01,0.04,-0.00,0.00,0.01
OLS,RESIDUAL,1,-0.03,0.12,-0.02,0.02,0.05,0.15
OLS,RESIDUAL,1,0.02,-0.07,0.01,-0.00,-0.05,0.07
OLS,RESIDUAL,1,-0.05,0.10,-0.01,0.01,0.08,-0.02
OLS,RESIDUAL,1,-0.05,-0.23,-0.02,-0.01,-0.07,-0.28
OLS,RESIDUAL,1,0.03,-0.43,0.02,0.05,-0.04,-0.27
OLS,RESIDUAL,1,0.02,0.08,0.15,0.00,-0.08,0.05
OLS,RESIDUAL,1,-0.03,-0.21,0.04,0.00,-0.03,-0.04
OLS,RESIDUAL,1,-0.12,-0.28,0.09,-0.11,-0.09,-0.58
OLS,RESIDUAL,1,-0.04,-0.17,0.10,0.00,-0.06,0.03
OLS,RESIDUAL,1,-0.08,-0.18,0.04,-0.07,-0.06,-0.42
OLS,RESIDUAL,1,-0.03,-0.10,0.06,-0.00,-0.03,-0.10
OLS,RESIDUAL,1,-0.03,-0.10,-0.04,0.00,-0.05,0.01
OLS,RESIDUAL,1,-0.02,0.16,0.01,0.06,0.02,0.12
OLS,RESIDUAL,1,-0.01,0.10,0.05,-0.07,-0.03,-0.05
OLS,RESIDUAL,1,-0.05,-0.15,-0.00,-0.04,0.02,-0.07
OLS,RESIDUAL,1,-0.05,-0.14,0.07,-0.05,-0.02,-0.13
OLS,RESIDUAL,1,-0.01,-0.20,0.04,0.02,-0.04,-0.10
OLS,RESIDUAL,1,-0.02,-0.13,-0.07,0.03,-0.02,0.03
OLS,RESIDUAL,1,-0.09,-0.18,0.32,-0.09,-0.12,-0.13
OLS,RESIDUAL,1,-0.07,-0.08,-0.00,-0.04,0.01,-0.03
OLS,RESIDUAL,1,-0.08,-0.19,0.01,-0.06,-0.03,-0.01
OLS,RESIDUAL,1,-0.09,-0.39,0.10,-0.08,-0.05,-0.36
OLS,RESIDUAL,1,-0.01,0.09,0.02,0.02,0.01,0.08
OLS,RESIDUAL,1,-0.03,0.07,-0.07,-0.03,-0.01,-0.00
OLS,RESIDUAL,1,0.07,0.26,-0.04,0.03,0.07,0.25
OLS,RESIDUAL,1,0.03,0.10,-0.04,-0.03,0.01,-0.02
OLS,RESIDUAL,1,-0.08,-0.24,0.15,-0.03,-0.04,-0.23
OLS,RESIDUAL,1,0.14,0.40,-0.13,0.10,0.12,0.38
OLS,RESIDUAL,1,0.02,0.33,-0.10,0.01,0.10,0.26
OLS,RESIDUAL,1,-0.10,0.17,0.11,-0.08,0.04,-0.03
OLS,RESIDUAL,1,0.03,0.11,-0.08,0.01,0.11,0.13
OLS,RESIDUAL,1,-0.08,0.06,-0.10,-0.01,-0.01,0.13
OLS,RESIDUAL,1,-0.10,-0.42,0.20,-0.09,-0.20,-0.25
OLS,RESIDUAL,1,0.17,0.63,-0.29,0.23,0.27,0.76
OLS,RESIDUAL,1,-0.18,-0.44,0.25,-0.24,-0.16,-0.26
OLS,RESIDUAL,1,-0.06,0.20,0.00,0.05,0.08,0.14
OLS,RESIDUAL,1,0.03,0.16,-0.11,0.03,0.07,0.15
