_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,-0.04,-0.17,0.01,-0.01,-0.04,0.01
OLS,RESIDUAL,1,-0.08,-0.39,0.12,-0.06,-0.05,-0.35
OLS,RESIDUAL,1,0.00,0.09,0.03,0.05,0.00,0.05
OLS,RESIDUAL,1,-0.02,0.12,-0.07,0.02,0.01,0.06
OLS,RESIDUAL,1,0.09,0.24,-0.03,0.04,0.07,0.24
OLS,RESIDUAL,1,0.02,0.11,-0.05,-0.02,0.01,0.01
OLS,RESIDUAL,1,-0.08,-0.28,0.16,-0.04,-0.05,-0.27
OLS,RESIDUAL,1,0.12,0.37,-0.12,0.09,0.12,0.35
OLS,RESIDUAL,1,0.03,0.39,-0.12,0.05,0.11,0.34
OLS,RESIDUAL,1,-0.11,0.13,0.11,-0.12,0.02,-0.05
OLS,RESIDUAL,1,0.01,0.06,-0.08,0.00,0.10,0.08
OLS,RESIDUAL,1,-0.06,0.06,-0.10,0.00,-0.03,0.14
OLS,RESIDUAL,1,-0.11,-0.44,0.22,-0.11,-0.20,-0.26
OLS,RESIDUAL,1,0.17,0.58,-0.28,0.23,0.29,0.71
OLS,RESIDUAL,1,-0.17,-0.32,0.22,-0.22,-0.16,-0.14
OLS,RESIDUAL,1,-0.08,0.06,0.03,0.01,0.06,0.01
OLS,RESIDUAL,1,0.04,0.24,-0.12,0.10,0.07,0.20
